window,start_ts,span_us,work_cov_us,wait_cov_us,idle_us,biggest_gap_us,gap_at_off_us,gap_before,gap_after,last_dataready_off_us,fill_end_off_us,listener_start_off_us,wcls_last_dr_off_us,dispatch_first_dr_off_us
85,137717879125502,1107.8,679.8,333.2,94.8,65.3,641.3,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1105.7,1016.5,707.9,714.1,1092.5
86,137717884243917,1801.4,868.8,748.0,184.6,82.2,1398.1,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1799.6,1398.1,683.9,689.8,1786.7
87,137717890124697,1094.6,586.3,427.6,80.6,53.4,553.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1092.5,996.7,608.7,612.2,1071.8
88,137717895212639,1735.5,757.2,716.2,262.0,92.3,1607.6,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1733.0,1275.8,565.0,678.9,1717.5
89,137717901087444,1908.4,670.7,924.9,312.8,183.3,1698.9,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1906.1,1397.0,608.2,616.1,1891.7
90,137717907021639,1148.2,485.4,572.6,90.2,56.7,427.9,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1145.5,1038.5,485.9,498.0,1132.2
91,137717912182649,1854.6,669.4,956.7,228.5,91.9,1737.0,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1852.3,1427.4,503.4,518.1,1838.2
92,137717918058295,1120.7,485.6,553.2,82.0,50.1,451.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1118.9,1025.2,503.4,506.7,1104.9
93,137717923162756,1422.7,774.8,405.4,242.6,85.9,1312.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1420.5,974.5,645.4,649.4,1407.7
94,137717928646493,1423.7,542.3,749.9,131.6,88.3,1087.3,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1421.8,1087.3,395.5,402.3,1400.7
95,137717934081693,1095.9,468.6,546.7,80.6,54.2,474.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1093.6,996.8,529.5,538.9,1071.6
96,137717939186807,1647.6,670.8,735.2,241.6,84.1,1527.3,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1644.8,1211.5,503.7,509.7,1620.9
97,137717944839159,1241.2,305.3,824.3,111.5,63.5,990.2,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1239.4,990.2,203.3,212.2,1225.3
98,137717950120461,1734.4,737.5,761.3,235.6,80.8,1627.7,assemble attention plan@24/?-work_queue,Prepare hardware matmul job@24/?-work_queue,1731.1,1238.1,525.0,531.7,1717.8
99,137717955894098,1166.4,318.2,754.8,93.4,51.3,870.5,notify_listener@25/0-worker,work_queue::do_work get_work@24/?-work_queue,1163.9,870.5,153.5,156.8,1150.7
100,137717961123598,1140.2,507.8,549.1,83.3,53.6,576.0,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1138.3,1031.0,634.6,642.7,1124.0
101,137717966262879,952.4,479.0,377.1,96.3,69.6,419.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,952.7,857.7,501.2,509.9,935.6
102,137717971202521,1021.2,563.8,366.9,90.5,58.8,525.7,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1018.7,926.5,586.3,590.6,1005.4
103,137717976227127,1037.0,525.7,427.2,84.1,54.0,524.8,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,1035.5,947.1,580.7,589.0,1022.1
104,137717981284758,969.7,501.7,344.4,123.7,57.7,526.2,kernel_add_rmsnorm_71@25/0-worker,prepare streams@25/0-worker,967.8,863.6,586.1,641.3,945.8
