f1_ts,f1f3_us,n_slices,work_us,wait_us,idle_us,us:fill_logits_buffer,us:waiting_for_logits,us:notify_listener,us:setup_logits,us:compute_forward_args,us:construct_minibatches,us:finalize_ranges,us:add_tokens,us:assemble attention plan,us:matmul enqueue,us:Prepare hardware matmul job,us:Launch hardware matmul job,us:legacy hw_prepare,us:legacy tx_launch,us:tx submitting activation DMA request,us:rx collecting results,us:Free scratchpads,us:other
256165115038205,326.48,28,12.95,306.52,7.01,305.35,192.48,311.94,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,2.8,0.0,25.93,3.51,672.56,0.0,7.53
256165120050262,325.16,28,7.19,310.26,7.71,310.14,191.83,316.12,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,3.05,0.0,13.47,3.51,704.56,0.0,1.33
256165125043763,249.42,28,6.87,234.05,8.5,233.71,179.28,239.65,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,2.85,0.0,8.63,3.51,675.54,0.0,1.27
256165129539513,339.0,28,16.21,315.91,6.88,325.24,196.65,331.07,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,2.52,0.0,21.82,14.81,698.11,0.0,1.04
256165134968948,1109.22,28,6.27,1060.68,42.26,1059.29,315.24,1065.72,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,2.57,0.0,11.34,3.49,808.36,0.0,1.24
256165141037381,239.15,28,5.88,225.17,8.09,224.07,185.49,229.91,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,2.79,0.0,12.4,3.5,698.21,0.0,1.14
256165146046333,253.3,28,5.91,239.09,8.3,237.67,182.18,243.87,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,2.64,0.0,8.89,3.58,703.79,0.0,1.13
256165151038740,233.31,28,6.29,218.87,8.15,218.28,183.99,224.2,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,2.71,0.0,10.92,3.54,692.92,0.0,0.96
256165156066143,314.29,28,6.51,300.55,7.23,299.68,186.1,305.93,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,2.65,0.0,12.87,3.52,693.59,0.0,1.13
256165161036854,1052.19,28,6.67,1036.24,9.28,1033.79,260.89,1041.75,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,2.65,0.0,16.73,3.55,682.09,0.0,1.16
256165167035332,271.49,28,7.43,255.38,8.68,255.69,189.67,261.65,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,2.81,0.0,11.66,3.5,692.0,0.0,1.16
256165172045592,1045.34,28,5.72,1031.03,8.58,1029.43,307.61,1035.8,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,2.88,0.0,8.91,3.51,826.03,0.0,0.95
256165178029433,344.81,28,6.27,330.47,8.07,330.09,190.39,335.67,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,2.27,0.0,19.92,3.52,671.7,0.0,1.06
256165183588968,610.4,28,9.08,552.01,49.31,553.33,356.61,559.42,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,2.8,0.0,32.46,4.61,766.3,0.0,1.67
256165189349968,815.99,28,33.09,730.89,52.01,724.63,396.13,737.1,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,2.47,0.0,56.05,3.74,774.03,0.0,26.88
256165195035622,341.45,28,7.43,327.23,6.8,327.06,178.09,333.5,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,2.78,0.0,14.03,3.5,666.79,0.0,1.16
256165200045819,241.12,28,6.68,226.53,7.91,226.07,189.12,231.94,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,2.81,0.0,11.42,3.48,680.84,0.0,1.27
256165205041385,1050.97,28,6.9,1034.41,9.66,1034.15,301.29,1040.2,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,2.32,0.0,26.11,3.47,701.88,0.0,1.11
256165211030420,253.28,28,6.0,238.81,8.47,237.24,184.4,243.64,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,2.67,0.0,9.25,3.43,682.33,0.0,1.17
256165216047364,228.57,28,5.88,215.03,7.67,213.96,181.46,219.96,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,2.7,0.0,11.32,3.43,690.89,0.0,0.95
256165221046564,319.08,28,6.03,304.62,8.43,303.76,187.17,309.63,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,2.58,0.0,21.81,3.54,689.49,0.0,1.02
256165226039955,312.03,28,6.77,296.93,8.33,296.12,187.82,302.44,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,2.81,0.0,13.64,3.48,687.52,0.0,1.25
256165231038065,312.71,28,8.58,295.13,9.01,293.57,195.64,301.32,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,3.07,0.0,17.41,3.55,660.47,0.0,2.24
256165236506626,1536.18,28,7.29,1479.31,49.59,1479.84,336.92,1485.54,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,3.31,0.0,9.13,3.64,742.65,0.0,1.05
256165243036092,269.34,28,5.96,253.96,9.41,252.94,183.33,258.77,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,2.72,0.0,16.7,3.64,697.1,0.0,1.15
256165248039395,250.62,28,6.53,235.6,8.49,235.66,196.4,241.13,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,2.81,0.0,17.96,3.5,696.27,0.0,0.99
256165253050698,258.58,28,11.62,239.76,7.2,242.93,189.22,250.06,0.0,0.0,0.0,0.0,0.0,0.0,6.51,0.0,7.73,0.0,15.43,3.47,682.89,0.0,1.32
256165257609731,252.93,28,11.28,232.77,8.88,236.6,187.66,242.88,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,7.33,0.0,18.5,3.56,665.83,0.0,1.17
256165263028420,328.99,28,8.5,314.3,6.19,313.83,187.79,319.56,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,2.49,0.0,19.38,3.51,674.05,0.0,3.23
256165268340701,827.12,28,5.5,769.01,52.61,767.26,302.72,773.23,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,2.64,0.0,10.08,3.53,738.97,0.0,1.28
256165274547967,591.0,28,7.66,527.23,56.12,527.97,378.71,534.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,2.92,0.0,9.59,4.56,760.2,0.0,0.88
256165280212854,333.29,28,6.54,318.35,8.41,317.38,188.2,323.7,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,2.55,0.0,17.02,3.47,692.28,0.0,1.18
256165285075133,253.85,28,5.72,239.96,8.17,239.13,181.46,244.62,0.0,0.0,0.0,0.0,0.0,0.0,1.46,0.0,2.69,0.0,8.22,3.35,707.41,0.0,1.06
256165290037777,245.99,28,6.44,230.74,8.82,229.84,177.23,235.9,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,2.78,0.0,10.85,3.48,673.71,0.0,1.27
256165295062849,269.9,28,6.5,254.74,8.66,253.97,178.8,260.12,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,2.52,0.0,19.08,3.56,659.68,0.0,1.12
256165300037835,253.86,28,6.03,239.11,8.72,237.2,201.69,243.86,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,2.63,0.0,16.79,3.56,684.55,0.0,1.28
256165305036840,265.11,28,6.03,250.97,8.11,249.76,178.29,255.82,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0.0,2.54,0.0,8.18,3.41,678.07,0.0,1.18
256165310040965,339.66,28,6.27,323.64,9.75,322.81,191.11,328.68,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,2.44,0.0,11.75,3.48,684.59,0.0,1.23
256165315064346,254.88,28,5.81,240.61,8.47,238.84,179.98,245.13,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,2.44,0.0,8.77,3.44,705.78,0.0,1.29
256165320028518,254.94,28,6.25,239.14,9.55,237.72,186.26,244.33,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,2.7,0.0,8.55,3.46,700.84,0.0,1.06
256165325034457,242.66,28,5.91,227.1,9.65,225.56,183.47,231.9,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,2.82,0.0,10.94,3.47,692.0,0.0,1.11
256165329672273,256.81,28,6.73,233.95,16.14,233.98,190.53,239.48,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,2.75,0.0,13.16,3.45,680.93,0.0,1.2
256165335016850,231.47,28,6.82,215.6,9.05,214.28,185.2,221.23,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,2.79,0.0,10.31,3.54,675.48,0.0,1.19
256165340038568,244.12,28,6.27,228.78,9.06,227.77,186.75,233.47,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,2.23,0.0,11.35,3.43,681.99,0.0,1.55
256165345043419,270.93,28,6.5,255.78,8.65,254.54,177.9,261.14,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,2.54,0.0,10.09,3.4,671.37,0.0,1.14
256165350042174,318.69,28,7.06,303.27,8.36,303.11,188.0,309.21,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,2.75,0.0,11.55,3.62,687.47,0.0,1.11
256165355068698,252.4,28,6.71,236.77,8.92,236.31,190.85,242.34,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,2.54,0.0,18.03,3.49,694.65,0.0,1.14
256165360524925,613.57,28,34.04,528.13,51.4,554.89,320.05,561.06,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,2.61,0.0,45.08,32.12,756.84,0.0,1.11
256165366029413,327.18,28,6.67,312.41,8.1,312.17,185.75,318.13,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0,3.03,0.0,22.18,3.49,679.32,0.0,0.95
256165370696323,539.9,28,7.26,524.2,8.45,334.64,190.22,530.17,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,2.68,0.0,11.97,3.55,683.13,0.0,1.28
256165376074124,245.27,28,6.97,229.98,8.31,229.85,186.87,235.97,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,2.88,0.0,11.99,3.47,691.58,0.0,0.99
256165381310578,839.4,28,7.48,774.49,57.42,774.2,321.74,780.21,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,2.98,0.0,15.55,3.52,745.27,0.0,1.76
